"3566014":{'stabilizer.thrust': 19599.0, 'motor.m1': 37198, 'motor.m2': 38210, 'motor.m3': 40372, 'motor.m4': 37100}
"3566034":{'stabilizer.thrust': 51691.0, 'motor.m1': 34960, 'motor.m2': 38100, 'motor.m3': 42846, 'motor.m4': 37474}
"3566054":{'stabilizer.thrust': 7427.0, 'motor.m1': 35019, 'motor.m2': 36707, 'motor.m3': 41795, 'motor.m4': 37123}
"3566074":{'stabilizer.thrust': 10938.0, 'motor.m1': 32143, 'motor.m2': 37803, 'motor.m3': 44237, 'motor.m4': 35489}
"3566094":{'stabilizer.thrust': 1751.0, 'motor.m1': 40160, 'motor.m2': 36582, 'motor.m3': 37302, 'motor.m4': 38556}
"3566114":{'stabilizer.thrust': 11300.0, 'motor.m1': 41610, 'motor.m2': 35212, 'motor.m3': 37556, 'motor.m4': 40422}
"3566134":{'stabilizer.thrust': 47907.0, 'motor.m1': 34504, 'motor.m2': 38570, 'motor.m3': 46438, 'motor.m4': 37908}
"3566154":{'stabilizer.thrust': 8688.0, 'motor.m1': 39709, 'motor.m2': 40667, 'motor.m3': 41907, 'motor.m4': 37593}
"3566174":{'stabilizer.thrust': 12364.0, 'motor.m1': 44853, 'motor.m2': 40083, 'motor.m3': 37299, 'motor.m4': 38725}
"3566194":{'stabilizer.thrust': 32135.0, 'motor.m1': 47708, 'motor.m2': 40174, 'motor.m3': 36796, 'motor.m4': 40686}
"3566214":{'stabilizer.thrust': 5769.0, 'motor.m1': 41235, 'motor.m2': 38679, 'motor.m3': 43191, 'motor.m4': 42871}
"3566234":{'stabilizer.thrust': 860.0, 'motor.m1': 40618, 'motor.m2': 39970, 'motor.m3': 45118, 'motor.m4': 43266}
"3566254":{'stabilizer.thrust': 64581.0, 'motor.m1': 47233, 'motor.m2': 40317, 'motor.m3': 39437, 'motor.m4': 42981}
"3566274":{'stabilizer.thrust': 23931.0, 'motor.m1': 43696, 'motor.m2': 43194, 'motor.m3': 42908, 'motor.m4': 41582}
"3566294":{'stabilizer.thrust': 444.0, 'motor.m1': 46377, 'motor.m2': 41729, 'motor.m3': 41391, 'motor.m4': 43563}
"3566314":{'stabilizer.thrust': 8448.0, 'motor.m1': 39882, 'motor.m2': 46154, 'motor.m3': 48432, 'motor.m4': 39744}
"3566334":{'stabilizer.thrust': 42057.0, 'motor.m1': 46276, 'motor.m2': 36258, 'motor.m3': 41496, 'motor.m4': 48658}
"3566354":{'stabilizer.thrust': 36199.0, 'motor.m1': 36185, 'motor.m2': 43853, 'motor.m3': 48621, 'motor.m4': 38817}
"3566374":{'stabilizer.thrust': 19457.0, 'motor.m1': 44302, 'motor.m2': 38800, 'motor.m3': 38870, 'motor.m4': 42172}
